교과,학년군,성취기준코드,평가요소,상,중,하
수학,3-4학년군,[4수01-13],수와 연산,"소수 두 자리 수와 소수 세 자리 수에서 자릿값의 원리를 설명하고, 소수를 읽고 쓸 수 있다.","소수 두 자리 수와 소수 세 자리 수에서 자릿값의 원리를 이해하고, 소수를 읽고 쓸 수 있다.","안내된 절차에 따라 분모가 100, 1000인 분수를 소수로 나타내고, 그소수를 읽을 수 있다."
수학,3-4학년군,[4수01-14],수와 연산,"여러 가지 소수의 크기를 비교하고, 그 방법을 설명할 수 있다.",여러 가지 소수의 크기를 비교할 수 있다.,구체물이나 그림을 이용하여 소수의 크기를 비교할 수 있다.󰊸분수의 덧셈과 뺄셈성취기준성취기준별 성취수준
수학,3-4학년군,[4수01-15],수와 연산,"분모가 같은 분수의 덧셈과 뺄셈을 여러 가지 방법으로 계산하고, 그 계산원리를 설명할 수 있다.","분모가 같은 분수의 덧셈과 뺄셈의 계산 원리를 이해하고, 그 계산을 할수 있다.",안내된 절차에 따라 분모가 같은 간단한 분수의 덧셈과 뺄셈을 할 수있다.󰊹소수의 덧셈과 뺄셈성취기준성취기준별 성취수준
수학,3-4학년군,[4수02-01],변화와 관계,"여러 가지 배열에서 다양한 변화 규칙을 찾아 수나 식으로 나타내고, 그방법을 설명할 수 있다.","주어진 배열에서 변화 규칙을 찾아 말하고, 그 규칙을 수나 식으로 나타낼수 있다.",안내된 절차에 따라 간단한 배열에서 변화 규칙을 찾아 수나 식으로 나타낼 수 있다.
수학,3-4학년군,[4수02-02],변화와 관계,"계산식의 배열에서 규칙을 찾아 계산 결과를 추측하고, 추측한 계산 결과가 옳은지 확인하여 설명할 수 있다.","계산식의 배열에서 규칙을 찾아 말하고, 계산 결과를 추측할 수 있다.",간단한 계산식의 배열에서 이어질 계산 결과를 추측할 수 있다.󰊲등호와 동치 관계성취기준성취기준별 성취수준
수학,3-4학년군,[4수02-03],변화와 관계,"등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타내고, 등호가사용된 식이 옳은지를 설명할 수 있다.",등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다.,안내된 절차에 따라 등호를 사용하여 크기가 같은 두 양의 관계를 식으로나타낼 수 있다.(3) 도형과 측정󰊱도형의 기초성취기준성취기준별 성취수준
수학,3-4학년군,[4수03-01],도형과 측정,"직선, 선분, 반직선의 예를 제시하고, 그 차이를 설명할 수 있다.","주어진 도형에서 직선, 선분, 반직선을 구별하고, 그 차이를 말할 수 있다.","주어진 도형에서 직선, 선분, 반직선을 구별할 수 있다."
수학,3-4학년군,[4수03-02],도형과 측정,"각, 직각의 예를 제시하고, 직각과 비교하여 예각과 둔각의 차이를 설명할수 있다.","주어진 도형에서 각과 직각을 찾고, 여러 가지 각을 직각, 예각, 둔각으로분류할 수 있다.","주어진 도형에서 각을 찾고, 직각이 있는 구체물을 이용하여 직각, 예각,둔각을 찾을 수 있다."
수학,3-4학년군,[4수03-03],도형과 측정,"수직 관계인 두 직선이나 평행 관계인 두 직선을 그리고, 그 성질을 설명할 수 있다.","수직과 평행의 의미를 알고, 주어진 그림에서 수직 관계 또는 평행 관계인직선을 찾을 수 있다.",안내된 절차에 따라 주어진 그림에서 한 직선에 수직 또는 평행인 직선을찾을 수 있다.󰊲평면도형의 이동성취기준성취기준별 성취수준
수학,3-4학년군,[4수03-04],도형과 측정,"구체물이나 평면도형의 밀기, 뒤집기, 돌리기를 한 결과를 예상하고, 위치나 방향의 변화를 설명할 수 있다.","구체물이나 평면도형의 밀기, 뒤집기, 돌리기를 하고, 위치나 방향의 변화를 말할 수 있다.","간단한 구체물이나 평면도형의 밀기, 뒤집기, 돌리기를 하고, 그 결과를그림으로 나타낼 수 있다."
수학,3-4학년군,[4수03-06],도형과 측정,"원의 중심, 반지름, 지름에 대한 이해를 바탕으로 원의 여러 가지 성질을찾아 설명할 수 있다.","원의 중심, 반지름, 지름을 이해하고, 이를 이용하여 원의 성질을 찾을수 있다.","주어진 원에서 원의 중심, 반지름, 지름을 찾을 수 있다."
수학,3-4학년군,[4수03-07],도형과 측정,"컴퍼스를 이용하여 여러 가지 크기의 원을 그리고, 원의 중심, 반지름,지름을 이용하여 그 방법을 설명할 수 있다.",컴퍼스를 이용하여 주어진 원과 크기가 같은 원을 그릴 수 있다.,컴퍼스를 이용하여 원을 그릴 수 있다.󰊴여러 가지 삼각형성취기준성취기준별 성취수준
수학,3-4학년군,[4수03-08],도형과 측정,"여러 가지 삼각형을 분류하는 활동을 통하여 이등변삼각형과 정삼각형을구분하고, 각각의 성질을 설명할 수 있다.","주어진 삼각형에서 이등변삼각형과 정삼각형을 찾고, 각각의 성질을 말할수 있다.",구체적 조작 활동을 통하여 주어진 삼각형에서 이등변삼각형과 정삼각형을 찾을 수 있다.
수학,3-4학년군,[4수03-09],도형과 측정,"여러 가지 삼각형을 분류하는 활동을 통하여 직각삼각형, 예각삼각형, 둔각삼각형을 구분하고, 그 차이를 설명할 수 있다.","주어진 삼각형을 직각삼각형, 예각삼각형, 둔각삼각형으로 구분할 수있다.","구체적 조작 활동을 통하여 주어진 삼각형에서 직각삼각형, 예각삼각형,둔각삼각형을 찾을 수 있다.󰊵여러 가지 사각형성취기준성취기준별 성취수준"
수학,3-4학년군,[4수03-11],도형과 측정,"다각형과 정다각형의 여러 가지 예를 제시하고, 각 도형의 공통점을 설명할 수 있다.","주어진 도형에서 다각형과 정다각형을 찾고, 그 의미를 말할 수 있다.",주어진 도형에서 다각형과 정다각형을 찾을 수 있다.
수학,3-4학년군,[4수03-14],도형과 측정,"실생활 문제 상황을 초 단위까지 시간의 덧셈과 뺄셈으로 나타내어 계산하고, 그 과정을 설명할 수 있다.","실생활 문제 상황을 초 단위까지 시간의 덧셈과 뺄셈으로 나타내고, 그계산을 할 수 있다.",안내된 절차에 따라 초 단위까지의 간단한 시간의 덧셈과 뺄셈을 할 수있다.󰊸길이성취기준성취기준별 성취수준
